p_name,fit_goal,author,days_per_wk,equipment array,p_type,exp_lvl,gender,p_ummary,cover_img,shares,stars,votes,comment_count
Double Down Training: Back-Off Set Muscle Building,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",This upper/lower split allows you to maximize your bodybuilding efforts by pushing for progressive overload using auto-regulation and a myriad of rep ranges and weights.,,0,4.9,11,13
Double Split Training: 3 Month Muscle Building Specialization Program,Build Muscle,Ian Coleman,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",It's time to go retro. This 3 month specialization program has you in the gym for 10 workouts each week. Back it with plenty of sleep and food for all kinds of gains!,,0,4.9,32,25
Doug's Mass Building Routine for Ectomorphs,Build Muscle,Doug Lawrenson,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",Althought this routine is designed for a person whoäó»s body type is described as Ectomorph; it can be also be used by all body types as a change their current workout.,,0,4.9,370,770
Dougs 4 Day Split Workout,Build Muscle,Doug Lawrenson,4,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",This muscle building workout is a tried and tested M&S muscle building staple! This workout was developed by trainer and forum member Doug Lawrenson.,,0,4.9,704,902
Drop 5 System: 4 Day Home Muscle Building Plan,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells",Split,Intermediate,"
						Male & Female						
					","This 4 day ""Drop 5"" split is designed for the home trainee. This program is an upper/lower split that utilizes only dumbbell, barbell and bodyweight exercises.",,0,4.9,15,11
Drop 5 System: 4 Day Mass Building Workout Split,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Blast your body with this potent muscle building workout by Steve Shaw. This four day plan is an upper/lower training split which cycles intensity over a 3 week period.,,0,4.7,26,53
DumbBar Workout: Make Killer Gains With Dumbbell & Barbell Supersets,Build Muscle,Roger äóìRockäó Lockridge,6,"Barbell, Dumbbells",Split,Beginner,"
						Male & Female						
					",Limited equipment doesn't mean limited gains. Grab some dumbbells and a barbell and get ready to destroy these intense DumbBar supersets.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/dumbbar-supersets.jpg,0,4.5,6,6
Dumbbell & Barbell Home Based Workout,Build Muscle,M&S Writers,3,"Barbell, Dumbbells",Split,Intermediate,"
						Male & Female						
					",Dumbbell and barbell home workout. This is a workout you can do at home just using a set of dumbbells and barbells. The workout is designed to build muscle and strength.,,0,5,213,472
Dumbbell & Barbell Mass Workout,Build Muscle,M&S Writers,5,"Barbell, Bodyweight, Dumbbells",Split,Intermediate,"
						Male & Female						
					","Looking to add muscle mass? Using only dumbbells and barbells, this workout hits each muscle group hard once a week over a 5 day schedule.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/barbell800.jpg,0,4.9,295,473
Dumbbell Only Home Or Gym Full Body Workout,Build Muscle,M&S Team,3,"Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					",Short on equipment? No worries! This dumbbell only workout can be used at home or in the gym for building muscle mass. You can also use this as a muscle shock workout to mix things up.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/dumb800.jpg,0,4.8,958,1600
Extreme 6 Day Barbell & Bodyweight Conditioning Workout,Increase Endurance,Max Riley,6,"Barbell, Bodyweight",Split,Beginner,"
						Male & Female						
					","You've found the motivation to hit the gym hard. What to do next? Try this extreme program that combines walking, muscle building and complex conditioning workouts.",,0,4.9,31,12
Fast 21 Workout: 3 Weeks To A Lean & Shredded Physique,Build Muscle,Team BPI,6,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines, Other",Split,Intermediate,"
						Male & Female						
					","The Fast 21 Workout Program is designed to ensure maximum fat loss while gaining lean muscle, all within 3 weeks!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/fast21-header.jpg,0,4.2,20,77
Fast 4: A Beach Body Workout Program For The College Student,Build Muscle,Andrew Pardue,4,"Barbell, Dumbbells, Machines",Split,Beginner,"
						Male & Female						
					",Not everyone wants to be a bodybuilder. This workout is perfect for the college student who wants to build muscle with the primary goal of looking great at the beach.,,0,4.9,14,30
Field Manual: A Training Guide For Those With Little Time & Equipment,Build Muscle,Brad Borland,4,"Bands, Bodyweight, Dumbbells",Split,Beginner,"
						Male & Female						
					","No equipment, no time? No problem! Using only dumbbells, bands and your bodyweight, Brad Borland shows you how to train for gains using supersets.",,0,5,31,26
Frankoman's Dumbbell Only Split,Build Muscle,M&S Writers,3,Dumbbells,Split,Beginner,"
						Male & Female						
					",A dumbbell only workout for home or the gym that will pack on muscle mass. This routine design by Frankoman from the M&S forum.,,0,5,483,965
Full Body Dumbbell Strength Workout For Women,General Fitness,Holly Blumenberg,1,"Bodyweight, Dumbbells",Full Body,Beginner,"
						Female						
					","This dumbbell workout is a metabolic conditioning session as well as a strength workout. If you're getting bored with your current workout, give this fun routine a try.",,0,4.9,34,8
Get Ripped in 8 Weeks! HIET Fat Loss Workout & Nutrition Program,Lose Fat,Team AML,6,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Split,Intermediate,"
						Male & Female						
					",Step your game up and get shredded for summer with this 8 week workout! Combine HIET and HIIT to accelerate your results and get shredded for the beach!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hiet-feature1.jpg,0,3.4,11,12
Get Serious Arm Size With This Biceps & Triceps Workout,Build Muscle,Roger äóìRockäó Lockridge,1,"Barbell, Cables, Dumbbells, EZ Bar",Single Muscle Group,Beginner,"
						Male & Female						
					",Build some massively impressive arms with this biceps and triceps superset and triset workout that maximizes your arm training and gaining!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/serious_biceps_triceps.jpg,0,4.4,9,2
Get Stronger At Squats With This 12 Week Super Squat Workout,Increase Strength,Roger äóìRockäó Lockridge,1,"Barbell, Bodyweight, Cables, Machines",Single Muscle Group,Beginner,"
						Male & Female						
					","Work your way to a bigger, more impressive squat with this 12-week program that's designed to improve your squat and get you moving serious weight.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/improving_squats_program_ronnie_coleman_feature.jpg,0,3.8,4,1
Get Swole: 5 Phase Muscle Building Workout System,Build Muscle,Cory Gregory,4,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines, Other",Split,Beginner,"
						Male						
					",This is a intense and proven 20 week training program from MusclePharm that uses 5 unique phases to help even the hardest of gainers to build muscle or firm up.,,0,5,112,110
Giant Sets For Giant Boulder Shoulders In 8 Weeks,Build Muscle,Roger äóìRockäó Lockridge,1,"Barbell, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","Maximize your shoulder muscle growth by incorporating these giant set routines that target every part of the shoulder, plus the traps!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/anton_side_lateral_raise_for_shoulder_muscle.jpg,0,3.3,6,7
Gordon LaVelle's Short And Intense Bodybuilding Training System,Build Muscle,Gordon LaVelle,4,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Gordon LaVelle's method of training is a highly effective and efficient system for building muscle that focuses of a limited number of sets performed to muscle failure.,,0,5,149,277
High Volume Chest Workout with IFBB Pros Gerardo Gabriel & Brett Kahn,Build Muscle,M&S Team,1,"Bodyweight, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					",IFBB Pros Brett Kahn and Gerardo Gabriel visit the Muscle & Strength HQ and destroy their chests with this high volume chest workout routine. Check it out!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/gerardo-chest-workout-feature2.jpg,0,5,2,0
HIML-4 Maximum Muscle Building Workout System,Build Muscle,Ian Coleman,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","HIML-4 is a highly effective four week muscle building workout system that cycles between heavy days, intense workouts, and moderate to light weight training days.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hmil800.jpg,0,5,945,1200
HIT Workout - Build Muscle With This High Intensity Training Routine,Build Muscle,Max Riley,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Full Body,Beginner,"
						Male & Female						
					","HIT training is unlike any muscle building approach you've ever tried. Workouts are brisk, intense, focusing on moderate volume, training to failure and recovery.",,0,4.9,22,17
Home Or Gym Barbell Workout Routine,Build Muscle,Thomas Schultz,4,"Barbell, Bodyweight",Split,Beginner,"
						Male & Female						
					",This barbell only workout is perfect for someone with limited access to equipment. It can be performed virtually anywhere and requires only a barbell and some hard work.,,0,5,26,11
How To Gain Mass Fast: 20 Week Quick Start Program,Build Muscle,Ian Coleman,3,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					","Build muscle as quickly as possible using this 20 week program that features 3 unique stages: neuromuscular adaptation, conditioning, and a maximization stage.",,0,4.8,90,70
"Hugh Jackman's Workout: Strong, Lean & Powerful",Build Muscle,Luke Atchley,4,"Barbell, Bodyweight, Cables, Dumbbells, Machines, Medicine Ball",Split,Beginner,"
						Male						
					",Get ripped like Wolverine by applying the same underlying training principles Hugh Jackman did while working out in preparation for his role on the big screen.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hugh_jackman_wolverine_body_workout_0.jpg,0,4.4,11,20
Intense Superset Chest & Biceps Workout With Joe Donnelly,Build Muscle,M&S Team,1,"Bands, Bodyweight, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","Looking to burn fat and build muscle, all while never stepping foot on the cardio deck? Try out Joe Donnelly's high intensity resistance training!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/joe-donnelly-feature-image.jpg,0,4.5,4,1
Intermediate 4 Day Split Workout,Build Muscle,Troy A. Dolfi,4,"Barbell, Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Designed for someone who's been lifting for a while and wants to step up their training. The workout has a 2 days on, 1 day off, 1 day on, 1 day off schedule.",,0,5,81,112
Intermediate Muscle Building Workout,Build Muscle,M&S Writers,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Shock your muscle into growth by rotating this workout with your current routine. This workout hits each major muscle group twice per week. ,,0,4.9,135,303
Introduction To Bodybuilding Workout,Build Muscle,Troy A. Dolfi,3,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Full Body,Beginner,"
						Male & Female						
					",This is a starter workout designed for absolute beginners to muscle building. It is a 3 day a week routine which works all the major muscle groups in 1 session.,,0,3.9,52,123
Jai Courtney Workout: How Jai Got Swole for Terminator Genisys,Lose Fat,Brad Borland,4,"Bodyweight, Dumbbells, Other",Full Body,Beginner,"
						Male						
					",Are you ripped enough to fight for humanity? Follow this 6 week program based on Jai Courtney's training principles to get shredded like Kyle Reese!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/jai-courtney-workout-terminator-genisys-featured.jpg,0,4.5,6,7
Jason Blaha's Ice Cream Fitness 5x5 Novice Program,Build Muscle,Jason Blaha,3,"Barbell, Cables, EZ Bar",Full Body,Beginner,"
						Male & Female						
					",A potent and proven novice muscle and strength building program from Jason Blaha & Ice Cream Fitness. Testimonials continue to pour in touting it's effectiveness.,,0,2.9,733,917
Jason Momoa's Workout: Accelerated Results 7 (AR-7) Training,Build Muscle,Brad Borland,5,"Barbell, Bodyweight, Cables, Dumbbells, Other",Full Body,Intermediate,"
						Male & Female						
					",Learn how the AR-7 program helped Game of Thrones actor Jason Momoa put on the major muscle needed to portray the great Khal Drogo.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/khal_game_of_thrones_workout_routine.jpg,0,4.5,10,37
Jason Poston's Giant Set Back Workout Routine,Build Muscle,M&S Team,1,"Barbell, Cables, Dumbbells, Medicine Ball",Single Muscle Group,Intermediate,"
						Male & Female						
					","If you thought your back workout was tough, then you've got to check out IFBB Pro and ProSupps athlete Jason Poston's Giant Set Back Routine!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/poston-prosupps-feature_0.jpg,0,4,2,0
Jen Jewell's Summer Countdown: Burn Fat & Build A Bikini Booty,Lose Fat,Jen Jewell,4,"Barbell, Bodyweight, Dumbbells, Exercise Ball",Full Body,Beginner,"
						Female						
					","The time to sculpt your summer body is now! Get lean, healthy, and strong with Jen Jewell's Summer Countdown Workout that combines strength training with cardio bursts for maximum fat loss.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/jen-jewell-summer-countdown-featured.jpg,0,3.5,8,4
Joe Ohrablo's Non-Linear Periodization,Build Muscle,Joseph Ohrablo,5,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Build a beastly body by alternating between intensity weeks and power weeks. Mr. NC Joe Ohrablo presents his incredibly effective muscle building system.,,0,4.4,51,70
"John Meadows: His Journey to the Arnold, Brand, & Back Workout",Build Muscle,Roger äóìRockäó Lockridge,1,"Barbell, Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					",IFBB Pro John Meadows' work ethic is like no other. Read about his humbling journey to competing in front of his home town at this years Arnold Classic.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/john-meadows-feature.jpg,0,4.7,3,1
Kickbox Your Way To Fit With Francisca Dennis,General Fitness,Team FitMiss,3,Other,Full Body,Beginner,"
						Female						
					",Mix things up a few times a week by putting on the mitts and incorporating some fun kickboxing to relieve some stress and burn a ton of calories at the same time!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/francisca_dennis_kickboxing.jpg,0,4.3,6,0
Leg Carnage: Superset Quad & Hamstring Workout,Build Muscle,M&S Team,1,"Barbell, Bodyweight, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Shock your legs with this brutal and growth-inducing workout designed by Steve Shaw. Featured exercises include paused squats, dumbbell stiff leg deadlifts & reverse hacks.",,0,4.6,5,6
Long Cycle Beginner Muscle And Strength Building Workout,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Full Body,Beginner,"
						Male & Female						
					","The Long Cycle program uses auto-regulation, allowing a lifter to progress on each exercise at a natural rate, while also maximizing muscle mass and strength gains.",,0,5,36,44
Low Rep Arm And Shoulder Workout By MusclePharm,Build Muscle,Cory Gregory,1,"Barbell, Bodyweight, Dumbbells, EZ Bar",Split,Beginner,"
						Male & Female						
					","This workout by Cory Gregory and MusclePharm helps you to pack on shoulder, bicep and tricep muscle mass by focusing on high volume, low rep tri-sets. ",,0,4.6,11,11
Mass Performance Program - Day 1: Upper Body,Build Muscle,Team Dymatize,4,"Barbell, Dumbbells, EZ Bar",Split,Beginner,"
						Male & Female						
					",Every good training week starts with chest day! Mass Performance Program Day 1 blasts your pecs before moving on to biceps and triceps.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/mpp-day-1.jpg,0,4.4,8,3
Mass Performance Program - Day 2: Lower Body,Build Muscle,Team Dymatize,4,"Barbell, Dumbbells, Machines, Other",Split,Beginner,"
						Male & Female						
					",Looking for maximum gains? You better not skip leg day! Your primary lift today is the deadlift which will torch your posterior chain.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/mpp_day_2.jpg,0,5,3,4
Mass Performance Program - Day 4: Upper Body,Build Muscle,Team Dymatize,4,"Barbell, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Get ready for cannonball delts and boulder shoulders! Day 4 training will hit your shoulders from all angles and finish with some arm blasting isolation work.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/mpp_day_4.jpg,0,4,2,2
Mass Performance Program - Day 5: Lower Body,Build Muscle,Team Dymatize,4,"Barbell, Dumbbells, Kettle Bells, Machines",Split,Beginner,"
						Male & Female						
					","It's the last training day of the week, which means you'd better hit it hard! Lots of squats make this the ultimate quad-blasting leg day.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/mpp_day_5.jpg,0,5,4,0
Massive Blitz: 4 Week High Rep Muscle Building Cycle,Build Muscle,M&S Team,1,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Looking to ""switch up"" your training? This workout system focuses on four week blocks that hammer muscle groups into growth using high reps and limited rest.",,0,3.8,19,9
Max Adaptation Upper Lower (MAUL) Workout,Build Muscle,Alain Gonzalez,5,"Barbell, Cables, Dumbbells, Machines",Split,Beginner,"
						Male & Female						
					",This workout combines the main mechanisms of muscle hypertrophy to help you build some serious muscle. Try this split to put on quality summer mass!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/maul-feature.jpg,0,5,26,0
MFT Training: Boost Strength and Build High Performance Muscle,Build Muscle,Eric Weinbrenner,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Full Body,Intermediate,"
						Male & Female						
					",Would you like to get stronger and build more muscle while spending less time in the gym? MFT training might be just what you need for big results.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/mft-training.jpg,0,5,5,22
Muscle & Strength Full Body Workout Routine,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					","This M&S mass building routine is perfect for lifters who want to give full body workouts a try. All major muscle groups are trained, and the program includes a 20 rep set of squats.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/ms_full_body_workout.jpg,0,4.8,78,57
Muscle & Strength's 30 Day Workout Plan For Women,Build Muscle,Brad Borland,6,"Barbell, Bodyweight, Dumbbells, Other",Full Body,Beginner,"
						Female						
					","Looking for the best place to start working towards a leaner, solid, and stronger body? This thorough workout routine is specifically designed to get you there!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/complete_full_body_womens_workout_routine.jpg,0,4.2,14,40
"Muscle Size, Shape & Definition Workout",Build Muscle,Troy A. Dolfi,5,"Barbell, Cables, Dumbbells, Machines",Split,Advanced,"
						Male & Female						
					","This advanced workout routine is a 5-day split - Two Days On, 1 Day Off, Two Days On, 1 Day Off. It is aimed at muscle size, definition and tone. ",,0,4.9,97,173
"New Year, New Body: Quick Start Workout Guide & Eating Plan",Build Muscle,Brad Borland,3,"Barbell, Bodyweight, Dumbbells",Split,Beginner,"
						Male & Female						
					","Build the body you want using the fundamentals. Focus your will to succeed and get bigger, stronger and leaner during the new year with this complete workout & diet plan.",,0,3.9,30,27
Off Season Leg Day Workout With Brandon Beckrich,Build Muscle,M&S Team,1,"Bands, Barbell, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","If you're in need of a great, quad-dominant leg workout, then you're in luck! Check out Team Allmax's Brandon Beckrich's insane off season leg day routine!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/brandon-legs-feature.jpg,0,5,2,0
Old School Chest Workout with Calum von Moger,Build Muscle,M&S Team,1,"Barbell, Bodyweight, Cables, Dumbbells",Single Muscle Group,Beginner,"
						Male & Female						
					",Mr. Universe Calum von Moger goes back to basics with this old school aesthetic chest workout inspired by Golden Era physiques. ,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/old-school-aesthetic-chest-workout.jpg,0,4.9,8,0
Old School Gains: Build Muscle Like an Iron-Game Legend,Build Muscle,Team Allmax,6,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",Is the modern lifter really willing to do what it takes to build major muscle? Try training like an old-school legend for big results!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/old-school-gains.jpg,0,5,15,14
Old School Series: 1970s Bodybuilding Routine,Build Muscle,M&S Team,6,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","Can you handle training like Arnold Schwarzenegger, Sergio Oliva or Lou Ferrigno? These legends set a new standard for muscle mass and training frequency.",,0,4.9,37,55
Old School Series: 1990s Bodybuilding Routine,Build Muscle,M&S Team,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Time for some blood and guts! Set aside volume training and focus on quality above quantity. This 4 day workout split is based upon the training style of Dorian Yates.,,0,4.8,9,18
"OT4 Training System: Minimal Gym Time, Optimal Gains",Build Muscle,Machine Militia,4,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Beginner,"
						Male & Female						
					",OT4 is a complete workout and nutrition system designed to maximize your time in the gym for lean muscle gains. Use this system for 12 weeks for optimal results!,,0,3.7,27,15
PHD 4 - RJ Perkin's Power Hyper Deload Training,Build Muscle,RJ Perkins,5,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Pro bodybuilder RJ Perkins combines aspects of Layne Norton's PHAT, Wendler's 5/3/1 and Westside training into a muscle building system that packs a punch.",,0,5,56,141
Playground Workouts: Having Fun While Building the Body You Want,Lose Fat,Brad Borland,3,Bodyweight,Split,Beginner,"
						Male & Female						
					",Does work have you trapped indoors all day? Enjoy the sunshine by taking your training to the great outdoors with this playground workout routine!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/playground-feature.jpg,0,5,3,1
Power 8 Muscle Building Workout äóñ 3 Day Split,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Power 8 combines a 5x5 protocol with a brutally effective 8x8 exercise. This system is perfect for the intermediate lifter who wants to continue to maximize gains.,,0,4.6,78,113
Power Hypertrophy Upper Lower (P.H.U.L.) Workout,Build Muscle,Brandon Campbell,4,"Barbell, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",Build both size and strength in this 4 day split based around basic compound movements. Get the best of both worlds with bodybuilding and powerlifting.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/power-hypertrophy-upper-lower-phul.jpg,0,4.6,256,367
Power Muscle Burn 5 Day Powerbuilding Split,Build Muscle,M&S Team,5,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","Rapidly build size and strength with this powerbuilding 5 day split which focuses on strength building power sets, and crazy-intense burn sets. You have been warned!",,0,5,1100,2600
Project WHEELS: The Ultimate Hybrid Program for Leg Size and Strength,Build Muscle,Lee Boyce,5,"Barbell, Bodyweight, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Build both your leg strength and solid legs muscles with this workout program that's heavy on squats, but highly effective at delivering results.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/leg_exercises_for_building_strong_legs_feature.jpg,0,4,4,2
Pyramid Volume Training,Build Muscle,Brad Farmer,4,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","Are you stuck in a plateau? Do you want to increase your strength, size, and muscular definition? Send your body into an anabolic state.",,0,5,203,700
Quad Destroyer: 10 Sets Of Squats Workout,Build Muscle,Max Riley,1,"Barbell, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","This is a specialization workout for lifters with lagging quads. It can be performed in an ongoing manner, and features 2 intense weeks followed by a deload week.",,0,3.6,9,9
"Real Results Pull, Squat, Press Fullbody Workout",Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					",A no nonsense 3 day per week program that will have you gaining muscle and strength quickly. It focuses on compound and bodyweight exercises.,,0,3.9,56,157
Reg Park Beginner Workout,Build Muscle,M&S Writers,3,"Barbell, Bodyweight",Full Body,Beginner,"
						Male & Female						
					","Arnold Schwarzenegger idolized bodybuilding legend Reg Park. This workout, provided by Kaya Park (Reg Park's grandson) was used by Arnold and yielded great results.",,0,5,98,187
Roger Lockridge's Intense 4 Week Superset Back Workout,Build Muscle,Roger äóìRockäó Lockridge,1,"Barbell, Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					",Emphasize your back muscles with this 4 week Superset routine that's designed to intensify and maximize your time at the gym for killer results.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/intense_4_week_superset_workout_for_back_muscle_2.jpg,0,4.2,5,0
Santi Aragon's Massive Shoulder Workout,Build Muscle,Team MuscleTech,2,"Dumbbells, EZ Bar",Single Muscle Group,Beginner,"
						Male & Female						
					",Want to know how IFBB Pro Santi Aragon grew his truly massive shoulders? Check out his 4 favorite moves that blast his delts from all angles.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/santi-aragon-shoulder-workout.jpg,0,4.8,6,4
Scrutiny's 4 Day Muscle Building Split,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",This 4 day split by Scrutiny from the Muscle & Strength forum is an effective muscle building workout that features an arm day sure to provide results.,,0,5,387,672
Scrutiny's Low Volume High Intensity Workout For Mass And Strength,Build Muscle,M&S Writers,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","An intense workout system focusing on training to failure, offering an alternative to the various high volume muscle building workout routines.",,0,4.9,115,133
Sean Sullivan's Power Base Workout,Build Muscle,Sean Sullivan,4,"Barbell, Cables, Dumbbells, Machines, Other",Split,Intermediate,"
						Male & Female						
					",This 4 day split by natural bodybuilding champion Sean Sullivan relies heavily on 6x6 training to encourage rapid strength and muscle gains.,,0,5,24,47
Shaun's 3 Day Muscle Building Split Workout,Build Muscle,Shaun McEwan,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",Shaun's 3 day split workout is a solid routine for those who are looking to pack on some pounds! It features a chest & biceps day as well as a legs & shoulders day.,,0,4.9,526,1300
Shaun's 30 Minute Workout Split Routine,Build Muscle,Shaun McEwan,5,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					",A 5 day muscle building split routine for those who are pressed for time. Each workout can be completed in 30 minutes.,,0,5,49,79
Shaun's 4 Day Muscle Building Split Routine,Build Muscle,Shaun McEwan,4,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",A solid 4 day split workout that is designed for those who want to build lean muscle mass and/or gain weight. Workout was developed by Shaun from the M & Strength forum.,,0,4.9,233,354
Shaun's 4 Day Progressive Overload Split,Build Muscle,Shaun McEwan,4,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","Maximize muscle growth with progressive overload. In this 4 day split by Shaun, you will add more weight to the bar each weight on heavy lifts, and pack on muscle mass.",,0,4.9,22,48
Shredded by Summer: 8 Weeks to Your Best Body Ever,Lose Fat,Eric Bach,3,"Bands, Barbell, Cables, Kettle Bells, Medicine Ball",Split,Intermediate,"
						Male & Female						
					",It's time to get serious about your summer body. This 8 week workout and nutrition plan will help you get shredded for this years summer vacation.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/8-weeks-to-shred-feature.jpg,0,5,2,0
Shrugs Are Overrated: Build a Massive Yoke Without Shrugs,Build Muscle,Ben Johnson,1,"Barbell, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","Traps are the true sign of strength. Quit relying on ego-based, half shrug movements and build a serious yoke with this 4 week explosive workout plan!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/massive-yolk-feature.jpg,0,4.2,6,2
